subject,ses_i,ses_j,mmd,coral,mu_power_shift,beta_power_shift,mu_ks_stat,erd_mu_corr,erd_beta_corr,csp_similarity,rms_ratio_median,rms_ratio_std,fisher_i,fisher_j,fisher_shift,high_amp_ratio_i,high_amp_ratio_j,mean_rms_i,mean_rms_j
sub-003,ses-02,ses-04,0.348520,0.000000,0.327820,0.335685,0.274062,0.891585,0.678021,0.285047,1.608093,1.152863,0.006490,0.028054,0.021565,0.500000,0.010000,8.066162,3.759448
sub-003,ses-02,ses-05,0.444617,0.000000,0.092225,0.048367,0.118438,0.860218,0.776559,0.254781,1.277175,0.977263,0.006490,0.003870,-0.002620,0.500000,0.000000,8.066162,2.634124
sub-003,ses-03,ses-04,0.603833,0.000000,-0.414857,-0.431306,0.220747,0.474842,0.371775,0.379421,0.501901,1.705445,0.010116,0.028054,0.017938,0.978261,0.010000,80.214075,3.759448
sub-003,ses-03,ses-05,0.619387,0.000000,-0.650452,-0.718623,0.324633,0.478022,0.527927,0.334449,0.441844,1.705793,0.010116,0.003870,-0.006246,0.978261,0.000000,80.214075,2.634124
sub-003,ses-04,ses-05,0.253590,0.000000,-0.235595,-0.287318,0.228437,0.831482,0.742671,0.192099,0.770467,0.938571,0.028054,0.003870,-0.024184,0.010000,0.000000,3.759448,2.634124
sub-004,ses-01,ses-02,0.347835,0.000000,-0.740886,-0.749267,0.417770,0.848924,0.682438,0.423843,0.228564,1.108635,0.004248,0.005889,0.001641,0.770115,0.329897,152.053137,7.773598
sub-004,ses-01,ses-03,0.135212,0.000000,-0.323809,-0.324411,0.161973,0.799863,0.591932,0.239388,0.820312,2.156985,0.004248,0.008491,0.004243,0.770115,0.780220,152.053137,18.209844
sub-004,ses-01,ses-04,0.449002,0.000000,-0.682794,-0.685601,0.335147,0.770851,0.762669,0.329515,0.273573,0.825859,0.004248,0.008932,0.004684,0.770115,0.250000,152.053137,7.322382
sub-004,ses-01,ses-05,0.674339,0.000000,-1.263340,-1.283647,0.519486,0.583778,0.499164,0.184680,0.091750,0.264465,0.004248,0.008020,0.003772,0.770115,0.000000,152.053137,1.833989
sub-004,ses-02,ses-03,0.348763,0.000000,0.417077,0.424856,0.284238,0.827455,0.735969,0.092530,3.149066,9.083903,0.005889,0.008491,0.002602,0.329897,0.780220,7.773598,18.209844
sub-004,ses-02,ses-04,0.325515,0.000000,0.058092,0.063666,0.101250,0.840778,0.853361,0.459021,1.338243,2.460397,0.005889,0.008932,0.003042,0.329897,0.250000,7.773598,7.322382
sub-004,ses-02,ses-05,0.439703,0.000000,-0.522453,-0.534380,0.362777,0.715268,0.653613,0.312005,0.434619,0.740210,0.005889,0.008020,0.002130,0.329897,0.000000,7.773598,1.833989
sub-004,ses-03,ses-04,0.420105,0.000000,-0.358985,-0.361190,0.206319,0.895123,0.787943,0.261600,0.251463,2.344956,0.008491,0.008932,0.000440,0.780220,0.250000,18.209844,7.322382
sub-004,ses-03,ses-05,0.580841,0.000000,-0.939530,-0.959235,0.482627,0.760534,0.884394,0.195472,0.125051,0.357472,0.008491,0.008020,-0.000472,0.780220,0.000000,18.209844,1.833989
sub-004,ses-04,ses-05,0.616863,0.000000,-0.580545,-0.598046,0.418125,0.870742,0.661098,0.461054,0.346128,0.379792,0.008932,0.008020,-0.000912,0.250000,0.000000,7.322382,1.833989
sub-005,ses-01,ses-02,0.546964,0.000000,-0.177839,-0.266318,0.182739,0.270571,0.738101,0.366703,1.164760,10.989069,0.013463,0.014190,0.000727,1.000000,0.640000,149.791814,10.365547
sub-005,ses-01,ses-03,0.340083,0.000000,0.291456,0.288324,0.297897,0.760431,0.855366,0.349191,1.715884,59.323019,0.013463,0.015187,0.001724,1.000000,0.978495,149.791814,46.577477
sub-005,ses-01,ses-04,0.513765,0.000000,-0.298207,-0.369391,0.222894,0.521021,0.490160,0.297624,1.457010,3.880209,0.013463,0.015547,0.002085,1.000000,0.717172,149.791814,13.674337
sub-005,ses-01,ses-05,0.253429,0.000001,0.392352,0.351364,0.265816,0.060286,0.708024,0.469019,1.919948,15.726762,0.013463,0.003046,-0.010417,1.000000,1.000000,149.791814,32.313179
sub-005,ses-02,ses-03,0.412359,0.000000,0.469295,0.554641,0.268172,0.599076,0.694774,0.430639,1.746785,39.772039,0.014190,0.015187,0.000997,0.640000,0.978495,10.365547,46.577477
sub-005,ses-02,ses-04,0.306025,0.000000,-0.120368,-0.103073,0.235281,0.293360,0.443333,0.164635,1.268312,9.144263,0.014190,0.015547,0.001357,0.640000,0.717172,10.365547,13.674337
sub-005,ses-02,ses-05,0.478429,0.000001,0.570191,0.617682,0.249396,0.427304,0.774289,0.464544,2.261379,25.559643,0.014190,0.003046,-0.011144,0.640000,1.000000,10.365547,32.313179
sub-005,ses-03,ses-04,0.318355,0.000000,-0.589663,-0.657715,0.101193,0.518252,0.494204,0.283331,0.696721,2.957095,0.015187,0.015547,0.000360,0.978495,0.717172,46.577477,13.674337
sub-005,ses-03,ses-05,0.195987,0.000001,0.100896,0.063040,0.069628,0.363391,0.547573,0.419188,1.432430,7.429274,0.015187,0.003046,-0.012141,0.978495,1.000000,46.577477,32.313179
sub-005,ses-04,ses-05,0.411938,0.000001,0.690559,0.720755,0.120205,0.403373,0.409445,0.165652,1.698970,14932038932.183138,0.015547,0.003046,-0.012502,0.717172,1.000000,13.674337,32.313179
sub-006,ses-01,ses-02,0.307815,0.000000,0.048099,0.109980,0.048952,0.606057,0.569238,0.574167,0.979829,2.969986,0.010014,0.013406,0.003392,0.795699,0.819149,17.029692,30.458771
sub-006,ses-01,ses-03,0.212147,0.000000,-0.292737,-0.319792,0.093785,0.604505,0.650416,0.357457,0.924957,6.272496,0.010014,0.016114,0.006100,0.795699,0.968421,17.029692,23.045627
sub-006,ses-01,ses-04,0.211903,0.000000,-0.213182,-0.208354,0.127531,0.467917,0.637434,0.287161,1.326867,3.314571,0.010014,0.034593,0.024579,0.795699,0.902174,17.029692,44.294974
sub-006,ses-01,ses-05,0.174954,0.000000,-0.041303,-0.073235,0.097036,0.787064,0.674022,0.467484,1.577176,9.309898,0.010014,0.009530,-0.000484,0.795699,0.621053,17.029692,19.161127
sub-006,ses-02,ses-03,0.226541,0.000000,-0.340836,-0.429773,0.061552,0.541561,0.571957,0.404737,1.015033,5.623802,0.013406,0.016114,0.002708,0.819149,0.968421,30.458771,23.045627
sub-006,ses-02,ses-04,0.288545,0.000000,-0.261281,-0.318334,0.102553,0.398957,0.632358,0.358879,1.102343,4.505568,0.013406,0.034593,0.021187,0.819149,0.902174,30.458771,44.294974
sub-006,ses-02,ses-05,0.293183,0.000000,-0.089403,-0.183215,0.090681,0.535697,0.498087,0.318089,1.429318,10.229063,0.013406,0.009530,-0.003876,0.819149,0.621053,30.458771,19.161127
sub-006,ses-03,ses-04,0.227468,0.000000,0.079555,0.111438,0.062529,0.537241,0.783821,0.476076,1.113426,36.037844,0.016114,0.034593,0.018480,0.968421,0.902174,23.045627,44.294974
sub-006,ses-03,ses-05,0.199717,0.000000,0.251434,0.246557,0.104276,0.488888,0.483566,0.443099,1.403824,1657014834.942849,0.016114,0.009530,-0.006583,0.968421,0.621053,23.045627,19.161127
sub-006,ses-04,ses-05,0.241806,0.000000,0.171878,0.135119,0.134300,0.569981,0.643328,0.409090,1.504480,1657014835.090655,0.034593,0.009530,-0.025063,0.902174,0.621053,44.294974,19.161127
sub-007,ses-01,ses-02,0.132916,0.000000,0.147157,-0.074975,0.124375,0.455738,0.679501,0.343411,1.297249,2.972677,0.006635,0.016672,0.010037,0.000000,0.060000,1.886507,2.497813
sub-007,ses-01,ses-03,0.430433,0.000000,0.247832,0.232635,0.165117,0.907796,0.787494,0.789465,1.892728,8.503204,0.006635,0.009207,0.002572,0.000000,0.270833,1.886507,6.976716
sub-007,ses-01,ses-04,0.595530,0.000000,0.530890,0.459164,0.348954,0.742638,0.639702,0.406459,1.808389,11.174971,0.006635,0.010535,0.003900,0.000000,0.641304,1.886507,13.391665
sub-007,ses-01,ses-05,0.416418,0.000000,0.380217,0.263434,0.328125,0.635560,0.541502,0.245448,1.294591,3.413647,0.006635,0.021237,0.014602,0.000000,0.050000,1.886507,4.034312
sub-007,ses-02,ses-03,0.360725,0.000000,0.100674,0.307609,0.063763,0.422145,0.758443,0.494583,1.479496,5.952478,0.016672,0.009207,-0.007465,0.060000,0.270833,2.497813,6.976716
sub-007,ses-02,ses-04,0.545384,0.000000,0.383732,0.534139,0.253791,0.556757,0.489980,0.430181,1.242274,8.300573,0.016672,0.010535,-0.006137,0.060000,0.641304,2.497813,13.391665
sub-007,ses-02,ses-05,0.372843,0.000000,0.233059,0.338409,0.220000,0.286929,0.369424,0.155900,1.006496,3.566310,0.016672,0.021237,0.004565,0.060000,0.050000,2.497813,4.034312
sub-007,ses-03,ses-04,0.342554,0.000000,0.283058,0.226529,0.195765,0.774167,0.637409,0.370831,0.768778,6.565067,0.009207,0.010535,0.001328,0.270833,0.641304,6.976716,13.391665
sub-007,ses-03,ses-05,0.190843,0.000000,0.132385,0.030800,0.179661,0.732876,0.601123,0.232245,0.607634,2.743151,0.009207,0.021237,0.012030,0.270833,0.050000,6.976716,4.034312
sub-007,ses-04,ses-05,0.452090,0.000000,-0.150673,-0.195730,0.119769,0.648644,0.818707,0.351707,0.822699,0.475711,0.010535,0.021237,0.010702,0.641304,0.050000,13.391665,4.034312
sub-008,ses-01,ses-02,0.622722,0.000000,0.749403,0.798021,0.391011,0.614901,0.621049,0.309837,1.866572,1069.740230,0.021368,0.008227,-0.013141,0.000000,1.000000,1.725376,393.776735
sub-008,ses-01,ses-03,0.661810,0.000000,1.510627,1.475955,0.765028,0.234939,0.365200,0.319694,6.113865,237.500723,0.021368,0.023949,0.002581,0.000000,1.000000,1.725376,72.433285
sub-008,ses-01,ses-04,0.409284,0.000000,0.441023,0.361645,0.333594,0.526556,0.659527,0.405086,1.931806,2.292673,0.021368,0.004855,-0.016513,0.000000,0.010417,1.725376,3.738886
sub-008,ses-01,ses-05,0.354265,0.000000,0.375062,0.050767,0.338438,0.563632,0.752516,0.344803,1.708072,1.403547,0.021368,0.010428,-0.010940,0.000000,0.010000,1.725376,2.718699
sub-008,ses-02,ses-03,0.263812,0.000000,0.761224,0.677933,0.415051,0.194234,0.726438,0.300155,3.846391,192.511034,0.008227,0.023949,0.015722,1.000000,1.000000,393.776735,72.433285
sub-008,ses-02,ses-04,0.597400,0.000000,-0.308380,-0.436377,0.160045,0.530174,0.499762,0.343920,1.134984,5.264514,0.008227,0.004855,-0.003372,1.000000,0.010417,393.776735,3.738886
sub-008,ses-02,ses-05,0.616342,0.000000,-0.374341,-0.747255,0.171935,0.402770,0.294542,0.226682,0.898234,0.983079,0.008227,0.010428,0.002201,1.000000,0.010000,393.776735,2.718699
sub-008,ses-03,ses-04,0.631408,0.000000,-1.069604,-1.114310,0.573469,0.277467,0.204498,0.266895,0.348439,0.548438,0.023949,0.004855,-0.019094,1.000000,0.010417,72.433285,3.738886
sub-008,ses-03,ses-05,0.652529,0.000000,-1.135565,-1.425188,0.585334,0.380636,0.093506,0.176522,0.175464,0.330278,0.023949,0.010428,-0.013521,1.000000,0.010000,72.433285,2.718699
sub-008,ses-04,ses-05,0.211982,0.000000,-0.065961,-0.310878,0.054010,0.587529,0.628065,0.290168,0.786079,0.699481,0.004855,0.010428,0.005573,0.010417,0.010000,3.738886,2.718699
sub-009,ses-01,ses-02,0.515001,0.000000,-0.244100,-0.205509,0.163010,0.602276,0.813940,0.272175,0.928801,0.821932,0.011103,0.004197,-0.006906,0.571429,0.010000,10.749987,2.718748
sub-009,ses-01,ses-03,0.481916,0.000000,-0.692875,-0.711044,0.381110,0.673747,0.704069,0.404333,2.693549,3.066146,0.011103,0.002206,-0.008897,0.571429,0.030000,10.749987,3.593824
sub-009,ses-01,ses-04,0.145975,0.000000,-0.605625,-0.634227,0.352067,0.629314,0.711759,0.318185,0.495324,159.891118,0.011103,0.007857,-0.003246,0.571429,0.427083,10.749987,160.409536
sub-009,ses-01,ses-05,0.215050,0.000000,0.584193,0.577531,0.381046,0.557704,0.813177,0.247503,1.580878,13.500796,0.011103,0.008236,-0.002867,0.571429,0.949495,10.749987,12.951207
sub-009,ses-02,ses-03,0.228640,0.000000,-0.448775,-0.505535,0.362500,0.588107,0.751632,0.254872,3.489004,2.380213,0.004197,0.002206,-0.001990,0.010000,0.030000,2.718748,3.593824
sub-009,ses-02,ses-04,0.425144,0.000000,-0.361525,-0.428718,0.290221,0.644887,0.755560,0.451054,0.502975,244.714362,0.004197,0.007857,0.003660,0.010000,0.427083,2.718748,160.409536
sub-009,ses-02,ses-05,0.602980,0.000000,0.828293,0.783040,0.528381,0.789276,0.792704,0.254112,1.586037,11.811595,0.004197,0.008236,0.004040,0.010000,0.949495,2.718748,12.951207
sub-009,ses-03,ses-04,0.414356,0.000000,0.087249,0.076817,0.107461,0.556067,0.544383,0.331604,0.154451,165.842385,0.002206,0.007857,0.005651,0.030000,0.427083,3.593824,160.409536
sub-009,ses-03,ses-05,0.554333,0.000000,1.277068,1.288575,0.747806,0.631056,0.693890,0.242968,0.524420,2.285669,0.002206,0.008236,0.006030,0.030000,0.949495,3.593824,12.951207
sub-009,ses-04,ses-05,0.240648,0.000000,1.189819,1.211758,0.724244,0.682651,0.633595,0.269261,3.216656,22.555407,0.007857,0.008236,0.000379,0.427083,0.949495,160.409536,12.951207
sub-010,ses-01,ses-02,0.173982,0.000000,-0.606047,-0.597163,0.419970,0.625078,0.856425,0.333728,0.455523,13.047964,0.020097,0.010537,-0.009560,0.359551,0.382979,7.381654,13.498911
sub-010,ses-01,ses-03,0.197583,0.000000,0.243350,0.224742,0.218852,0.728338,0.738431,0.419289,1.675469,2.323580,0.020097,0.003393,-0.016705,0.359551,0.310000,7.381654,8.928748
sub-010,ses-01,ses-04,0.413603,0.000000,-0.101496,-0.090552,0.200327,0.359082,0.792489,0.384349,0.905543,1.169614,0.020097,0.006408,-0.013689,0.359551,0.010000,7.381654,3.642100
sub-010,ses-01,ses-05,0.203430,0.000000,-0.227603,-0.283848,0.195297,0.569824,0.893406,0.377108,0.666003,136.234151,0.020097,0.008696,-0.011402,0.359551,0.587629,7.381654,42.271164
sub-010,ses-02,ses-03,0.176077,0.000000,0.849397,0.821905,0.541430,0.909237,0.792922,0.361022,2.534248,7.067086,0.010537,0.003393,-0.007145,0.382979,0.310000,13.498911,8.928748
sub-010,ses-02,ses-04,0.278536,0.000000,0.504550,0.506611,0.523896,0.614268,0.749201,0.419394,1.875850,1.782030,0.010537,0.006408,-0.004129,0.382979,0.010000,13.498911,3.642100
sub-010,ses-02,ses-05,0.136830,0.000000,0.378444,0.313314,0.240061,0.547321,0.874902,0.495565,1.122418,3.262182,0.010537,0.008696,-0.001841,0.382979,0.587629,13.498911,42.271164
sub-010,ses-03,ses-04,0.462653,0.000000,-0.344846,-0.315294,0.320937,0.504961,0.664365,0.446993,0.623036,0.893998,0.003393,0.006408,0.003016,0.310000,0.010000,8.928748,3.642100
sub-010,ses-03,ses-05,0.167036,0.000000,-0.470953,-0.508591,0.370341,0.468429,0.804358,0.376814,0.491230,436.017351,0.003393,0.008696,0.005303,0.310000,0.587629,8.928748,42.271164
sub-010,ses-04,ses-05,0.448579,0.000000,-0.126107,-0.193296,0.290896,0.511046,0.770820,0.407979,0.852331,96.731595,0.006408,0.008696,0.002288,0.010000,0.587629,3.642100,42.271164
sub-011,ses-01,ses-02,0.633686,0.000000,0.668843,0.720486,0.409840,0.754685,0.664764,0.411298,2.194591,18.529713,0.005707,0.007325,0.001619,0.000000,0.957447,1.722606,24.970863
sub-011,ses-01,ses-03,0.575928,0.000000,0.686781,0.726805,0.501875,0.709604,0.693735,0.461315,2.230571,3.778604,0.005707,0.003427,-0.002279,0.000000,0.210000,1.722606,6.461847
sub-011,ses-01,ses-04,0.494429,0.000000,0.823856,0.807859,0.639375,0.524962,0.700093,0.409203,2.250453,3.206649,0.005707,0.006878,0.001172,0.000000,0.000000,1.722606,4.679004
sub-011,ses-01,ses-05,0.348945,0.000000,0.387984,0.403789,0.252500,0.698213,0.762657,0.469367,1.543305,2.123550,0.005707,0.002366,-0.003341,0.000000,0.000000,1.722606,3.086831
sub-011,ses-02,ses-03,0.479785,0.000000,0.017938,0.006319,0.105379,0.719307,0.303730,0.595179,0.999907,0.758276,0.007325,0.003427,-0.003898,0.957447,0.210000,24.970863,6.461847
sub-011,ses-02,ses-04,0.553474,0.000000,0.155013,0.087374,0.253564,0.511983,0.525143,0.430652,1.179314,1.484144,0.007325,0.006878,-0.000447,0.957447,0.000000,24.970863,4.679004
sub-011,ses-02,ses-05,0.597430,0.000000,-0.280859,-0.316697,0.207726,0.638649,0.371214,0.496042,0.553103,3.251536,0.007325,0.002366,-0.004960,0.957447,0.000000,24.970863,3.086831
sub-011,ses-03,ses-04,0.238983,0.000000,0.137075,0.081055,0.154375,0.391400,0.369716,0.519144,1.005312,1.247749,0.003427,0.006878,0.003451,0.210000,0.000000,6.461847,4.679004
sub-011,ses-03,ses-05,0.405082,0.000000,-0.298797,-0.323016,0.286562,0.818449,0.711992,0.450182,0.512192,3.190984,0.003427,0.002366,-0.001061,0.210000,0.000000,6.461847,3.086831
sub-011,ses-04,ses-05,0.284329,0.000000,-0.435872,-0.404070,0.405625,0.423410,0.608422,0.403461,0.476527,0.727690,0.006878,0.002366,-0.004513,0.000000,0.000000,4.679004,3.086831
sub-012,ses-01,ses-02,0.276923,0.000000,0.416575,0.411700,0.215350,0.702409,0.703111,0.530825,2.318771,27.987047,0.023579,0.017955,-0.005624,1.000000,1.000000,25.470076,56.708125
sub-012,ses-01,ses-03,0.145493,0.000000,0.205918,0.239848,0.189288,0.794415,0.703164,0.476473,1.223051,4.400995,0.023579,0.027111,0.003532,1.000000,1.000000,25.470076,29.723124
sub-012,ses-01,ses-04,0.306397,0.000000,0.189191,0.198425,0.324346,0.309353,0.185444,0.242307,10.750032,147.812167,0.023579,0.011543,-0.012036,1.000000,1.000000,25.470076,101.357267
sub-012,ses-01,ses-05,0.205254,0.000000,0.235093,0.331038,0.235248,0.422836,0.336271,0.362422,2.152547,11.116815,0.023579,0.005175,-0.018404,1.000000,0.807229,25.470076,24.502624
sub-012,ses-02,ses-03,0.220966,0.000000,-0.210657,-0.171851,0.070749,0.614013,0.718461,0.658804,0.479359,0.751849,0.017955,0.027111,0.009157,1.000000,1.000000,56.708125,29.723124
sub-012,ses-02,ses-04,0.166004,0.000000,-0.227385,-0.213275,0.158910,0.360329,0.186987,0.150249,5.005324,92.649653,0.017955,0.011543,-0.006412,1.000000,1.000000,56.708125,101.357267
sub-012,ses-02,ses-05,0.325737,0.000000,-0.181482,-0.080662,0.102604,0.346501,0.139054,0.454604,0.829417,7.314465,0.017955,0.005175,-0.012780,1.000000,0.807229,56.708125,24.502624
sub-012,ses-03,ses-04,0.260031,0.000000,-0.016727,-0.041424,0.209785,0.530210,0.260024,0.347475,9.770167,337.990638,0.027111,0.011543,-0.015569,1.000000,1.000000,29.723124,101.357267
sub-012,ses-03,ses-05,0.221578,0.000000,0.029175,0.091190,0.095605,0.562085,0.260250,0.494402,1.681702,19.372853,0.027111,0.005175,-0.021936,1.000000,0.807229,29.723124,24.502624
sub-012,ses-04,ses-05,0.338208,0.000000,0.045902,0.132614,0.179645,0.305609,0.350803,0.146961,0.162436,3.230780,0.011543,0.005175,-0.006368,1.000000,0.807229,101.357267,24.502624
sub-013,ses-01,ses-02,0.174574,0.000000,0.065794,0.065825,0.067407,0.227609,0.375198,0.483959,1.048346,0.455427,0.018318,0.008157,-0.010160,0.050000,0.010638,4.234355,4.459145
sub-013,ses-01,ses-03,0.290223,0.000000,0.205111,0.179670,0.116875,0.542310,0.761048,0.700042,1.234112,0.829056,0.018318,0.014170,-0.004147,0.050000,0.070000,4.234355,6.000283
sub-013,ses-01,ses-04,0.409641,0.000000,-0.455213,-0.471705,0.360395,0.459902,0.497807,0.353153,0.920776,0.937187,0.018318,0.003719,-0.014599,0.050000,0.000000,4.234355,2.116835
sub-013,ses-01,ses-05,0.358819,0.000000,-0.240691,-0.289209,0.221875,0.261740,0.319056,0.348863,0.672626,0.834732,0.018318,0.010755,-0.007562,0.050000,0.000000,4.234355,2.474740
sub-013,ses-02,ses-03,0.258662,0.000000,0.139317,0.113845,0.089348,0.603141,0.691510,0.483706,1.147150,0.869001,0.008157,0.014170,0.006013,0.010638,0.070000,4.459145,6.000283
sub-013,ses-02,ses-04,0.434349,0.000000,-0.521006,-0.537530,0.408070,0.722312,0.702079,0.203348,0.727503,0.740634,0.008157,0.003719,-0.004439,0.010638,0.000000,4.459145,2.116835
sub-013,ses-02,ses-05,0.381080,0.000000,-0.306485,-0.355033,0.271489,0.617183,0.687436,0.340105,0.665266,0.799684,0.008157,0.010755,0.002598,0.010638,0.000000,4.459145,2.474740
sub-013,ses-03,ses-04,0.528096,0.000000,-0.660323,-0.651375,0.429885,0.562718,0.597845,0.221302,0.690684,0.663644,0.014170,0.003719,-0.010452,0.070000,0.000000,6.000283,2.116835
sub-013,ses-03,ses-05,0.491732,0.000000,-0.445802,-0.468878,0.295312,0.583910,0.666676,0.364812,0.566592,0.739221,0.014170,0.010755,-0.003415,0.070000,0.000000,6.000283,2.474740
sub-013,ses-04,ses-05,0.260520,0.000000,0.214521,0.182497,0.165230,0.577646,0.702033,0.400665,0.797643,0.903900,0.003719,0.010755,0.007037,0.000000,0.000000,2.116835,2.474740
sub-014,ses-01,ses-02,0.220060,0.000000,-0.056936,-0.106213,0.051497,0.551756,0.611877,0.367514,0.854765,1.089845,0.004771,0.008368,0.003597,0.050000,0.063158,5.200914,3.795081
sub-014,ses-01,ses-03,0.152345,0.000000,-0.028191,-0.109270,0.078641,0.479896,0.729656,0.389127,1.015831,0.593757,0.004771,0.009301,0.004530,0.050000,0.021739,5.200914,4.830955
sub-014,ses-01,ses-04,0.553397,0.000000,-1.054389,-1.189992,0.766114,0.737583,0.682212,0.471908,0.287149,0.163856,0.004771,0.007330,0.002560,0.050000,0.010870,5.200914,1.329408
sub-014,ses-01,ses-05,0.240034,0.000000,-0.370004,-0.434756,0.313750,0.730348,0.858773,0.227298,0.778155,0.887162,0.004771,0.005659,0.000888,0.050000,0.030000,5.200914,3.946416
sub-014,ses-02,ses-03,0.191098,0.000000,0.028746,-0.003057,0.051648,0.653547,0.731873,0.419084,1.180750,1.690457,0.008368,0.009301,0.000933,0.063158,0.021739,3.795081,4.830955
