subject,ses_i,ses_j,mmd,coral,mu_power_shift,beta_power_shift,mu_ks_stat,erd_mu_corr,erd_beta_corr,csp_similarity,rms_ratio_median,rms_ratio_std,fisher_i,fisher_j,fisher_shift,high_amp_ratio_i,high_amp_ratio_j,mean_rms_i,mean_rms_j
sub-006,ses-02,ses-03,0.316162,0.000007,-0.059578,-0.010305,0.082845,0.329618,0.500265,0.484298,0.995908,0.492416,0.005447,0.012116,0.006669,0.860000,0.970000,16.726904,21.980839
sub-007,ses-01,ses-02,0.207873,0.000104,0.203343,0.077184,0.265603,0.771921,0.815612,0.521300,1.005907,0.230769,0.003906,0.002841,-0.001065,0.995000,0.990000,29.521765,22.647888
sub-007,ses-01,ses-03,0.542692,0.000226,-0.159988,-0.226160,0.256293,0.531091,0.588279,0.427147,0.580476,0.889162,0.003906,0.019492,0.015586,0.995000,0.065000,29.521765,7.233331
sub-007,ses-02,ses-03,0.486756,0.000138,-0.363331,-0.303344,0.465517,0.709347,0.708704,0.324718,0.563795,0.776959,0.002841,0.019492,0.016651,0.990000,0.065000,22.647888,7.233331
sub-008,ses-01,ses-02,0.130906,0.000032,0.068705,0.061699,0.121638,0.169657,0.732364,0.449296,0.831606,0.224715,0.012433,0.003534,-0.008900,0.725000,0.865000,14.011627,12.372193
sub-008,ses-01,ses-03,0.144553,0.000043,0.380428,0.358951,0.430431,0.394591,0.753160,0.391300,1.236586,0.427248,0.012433,0.002120,-0.010313,0.725000,0.695000,14.011627,14.602239
sub-008,ses-02,ses-03,0.123635,0.000032,0.311723,0.297252,0.318362,0.290946,0.588503,0.445266,1.473813,0.787378,0.003534,0.002120,-0.001413,0.865000,0.695000,12.372193,14.602239
sub-009,ses-01,ses-02,0.165792,0.000049,-0.177162,-0.141193,0.134397,0.655651,0.726781,0.497935,0.786279,0.261641,0.001338,0.019132,0.017794,0.885000,0.755000,19.478527,17.156693
sub-009,ses-01,ses-03,0.246213,0.000075,-0.274256,-0.218091,0.276293,0.553097,0.668579,0.426445,0.915488,0.428776,0.001338,0.017657,0.016319,0.885000,0.420000,19.478527,12.965005
sub-009,ses-02,ses-03,0.269426,0.000077,-0.097094,-0.076899,0.150690,0.305313,0.432243,0.365546,1.283527,0.754092,0.019132,0.017657,-0.001475,0.755000,0.420000,17.156693,12.965005
sub-010,ses-01,ses-02,0.174092,0.000041,0.208553,0.221976,0.235948,0.559644,0.431731,0.491696,1.210721,1.631389,0.004885,0.003260,-0.001625,0.850000,0.855000,15.020571,18.227015
sub-010,ses-01,ses-03,0.231753,0.000021,-0.224374,-0.192667,0.200690,0.656266,0.756287,0.456924,0.853927,0.259416,0.004885,0.006862,0.001978,0.850000,0.715000,15.020571,11.091028
sub-010,ses-02,ses-03,0.320322,0.000040,-0.432927,-0.414643,0.420603,0.596135,0.350333,0.465612,0.693020,0.270777,0.003260,0.006862,0.003603,0.855000,0.715000,18.227015,11.091028
sub-011,ses-01,ses-02,0.153121,0.000023,-0.032842,-0.024565,0.152931,0.680160,0.500178,0.450790,1.167214,0.772291,0.025307,0.012345,-0.012961,0.410000,0.330000,10.359186,12.971826
sub-011,ses-01,ses-03,0.424779,0.000045,-0.133377,-0.150141,0.150776,0.753676,0.682881,0.473025,1.163985,0.757723,0.025307,0.007329,-0.017978,0.410000,0.895000,10.359186,17.568732
sub-011,ses-02,ses-03,0.345462,0.000038,-0.100535,-0.125576,0.145517,0.427191,0.577628,0.438288,0.988384,0.581801,0.012345,0.007329,-0.005017,0.330000,0.895000,12.971826,17.568732
sub-012,ses-01,ses-02,0.113285,0.000057,-0.116619,-0.047649,0.159138,0.430828,0.130025,0.438141,1.034222,0.223731,0.005429,0.001387,-0.004042,0.565000,0.655000,14.744963,13.222707
sub-012,ses-01,ses-03,0.160279,0.000056,-0.207594,-0.179736,0.216121,0.227649,0.378398,0.520621,0.803490,0.246531,0.005429,0.003383,-0.002046,0.565000,0.480000,14.744963,10.534562
sub-012,ses-02,ses-03,0.164183,0.000015,-0.090976,-0.132087,0.093879,0.336365,0.251343,0.469588,0.786366,0.200735,0.001387,0.003383,0.001996,0.655000,0.480000,13.222707,10.534562
sub-013,ses-01,ses-02,0.425042,0.002845,0.618351,0.498063,0.677241,0.142290,0.463089,0.295756,4.655985,11.939275,0.009778,0.006483,-0.003294,0.220000,0.845000,8.395212,26.943746
sub-013,ses-01,ses-03,0.140222,0.000007,0.256576,0.139822,0.425345,0.201809,0.019787,0.426062,1.025806,0.751899,0.009778,0.001586,-0.008192,0.220000,0.150000,8.395212,8.610181
sub-013,ses-02,ses-03,0.441226,0.002845,-0.361774,-0.358241,0.267931,0.126268,0.210091,0.219589,0.218606,0.219876,0.006483,0.001586,-0.004898,0.845000,0.150000,26.943746,8.610181
sub-014,ses-01,ses-02,0.366576,0.000013,-0.471622,-0.500583,0.485000,0.233440,0.281275,0.201110,0.459818,0.648295,0.002327,0.005876,0.003549,0.455000,0.140000,12.263195,6.997209
sub-014,ses-01,ses-03,0.166405,0.000012,-0.180569,-0.236776,0.235259,0.263894,0.076319,0.483224,0.737541,0.379204,0.002327,0.004703,0.002375,0.455000,0.460000,12.263195,9.700059
sub-014,ses-02,ses-03,0.245095,0.000016,0.291053,0.263807,0.256810,0.546267,0.496254,0.281954,1.118823,5.067456,0.005876,0.004703,-0.001174,0.140000,0.460000,6.997209,9.700059
sub-015,ses-01,ses-02,0.220847,0.000058,0.343499,0.199870,0.407328,0.697355,0.492945,0.357268,1.363903,0.548754,0.009878,0.001536,-0.008343,0.745000,0.895000,14.341338,20.639592
sub-015,ses-01,ses-03,0.248272,0.001077,-0.086721,0.040201,0.120086,0.582701,0.171422,0.378107,1.389125,45.585261,0.009878,0.034857,0.024979,0.745000,0.985000,14.341338,57.794092
sub-015,ses-02,ses-03,0.176368,0.001077,-0.430220,-0.159669,0.448879,0.276217,0.186742,0.215411,1.103500,51.600058,0.001536,0.034857,0.033321,0.895000,0.985000,20.639592,57.794092
sub-016,ses-01,ses-02,0.179103,0.000043,-0.080057,-0.155498,0.117414,0.719903,0.826411,0.511861,0.782003,0.095778,0.027793,0.004537,-0.023256,0.965000,0.930000,18.790810,14.383312
sub-016,ses-01,ses-03,0.229991,0.000068,-0.124657,-0.159700,0.194569,0.419933,0.727338,0.484929,0.866578,0.246352,0.027793,0.007597,-0.020196,0.965000,0.840000,18.790810,13.234078
sub-016,ses-02,ses-03,0.140189,0.000028,-0.044600,-0.004202,0.082414,0.637171,0.725877,0.457707,1.097767,0.274700,0.004537,0.007597,0.003060,0.930000,0.840000,14.383312,13.234078
sub-017,ses-01,ses-02,0.170597,0.000347,-0.153250,-0.146405,0.098017,0.421231,0.610693,0.429715,0.175107,0.158402,0.000842,0.003014,0.002172,0.140000,0.775000,16.723088,12.366028
sub-017,ses-01,ses-03,0.389525,0.000351,-0.043800,-0.166392,0.040776,0.471530,0.602699,0.446051,0.232461,0.315827,0.000842,0.001215,0.000374,0.140000,0.945000,16.723088,21.593795
sub-017,ses-02,ses-03,0.354582,0.000033,0.109450,-0.019987,0.104828,0.446469,0.787199,0.449186,1.423163,0.337481,0.003014,0.001215,-0.001798,0.775000,0.945000,12.366028,21.593795
sub-018,ses-01,ses-02,0.422744,0.199956,-0.229108,-0.129240,0.202931,0.675679,0.821465,0.402567,0.227037,0.161775,0.003853,0.004651,0.000798,0.950000,0.690000,76.551364,13.790159
sub-018,ses-01,ses-03,0.178218,0.199955,0.015347,0.065329,0.086207,0.738542,0.556464,0.428262,0.476399,0.420406,0.003853,0.001346,-0.002507,0.950000,0.880000,76.551364,28.546209
sub-018,ses-02,ses-03,0.384094,0.000202,0.244455,0.194569,0.286207,0.490841,0.598747,0.288789,2.230606,2.342221,0.004651,0.001346,-0.003305,0.690000,0.880000,13.790159,28.546209
sub-019,ses-01,ses-02,0.167290,0.000020,0.379946,0.274791,0.277845,0.022674,-0.178971,0.457847,1.190167,1.710076,0.010330,0.001546,-0.008784,0.695000,0.850000,12.848525,14.442833
sub-019,ses-01,ses-03,0.194889,0.000046,0.892083,0.713618,0.500086,0.263857,-0.236104,0.441018,1.364108,2.216428,0.010330,0.002617,-0.007713,0.695000,0.880000,12.848525,15.369344
sub-019,ses-02,ses-03,0.127477,0.000032,0.512137,0.438827,0.436810,0.057158,0.619672,0.513399,1.144743,0.287770,0.001546,0.002617,0.001071,0.850000,0.880000,14.442833,15.369344
sub-020,ses-01,ses-02,0.406588,0.000068,-0.822662,-0.817753,0.716207,-0.384880,-0.118546,0.296145,0.262641,0.420703,0.006915,0.003299,-0.003616,0.840000,0.470000,17.098610,7.802194
sub-020,ses-01,ses-03,0.523233,0.000067,-0.971324,-0.895484,0.743966,-0.150176,-0.005391,0.390759,0.243658,0.211713,0.006915,0.000919,-0.005996,0.840000,0.005000,17.098610,5.482521
sub-020,ses-02,ses-03,0.277184,0.000022,-0.148662,-0.077732,0.173534,0.277426,-0.100982,0.390878,0.840625,0.309704,0.003299,0.000919,-0.002380,0.470000,0.005000,7.802194,5.482521
sub-021,ses-01,ses-02,0.209996,0.000043,-0.126450,-0.069991,0.117500,0.626835,0.554663,0.479474,1.071552,4.586461,0.006964,0.005439,-0.001525,0.420000,0.665000,8.396431,13.161820
sub-021,ses-01,ses-03,0.171701,0.000010,0.280428,0.259710,0.317586,0.486041,0.526186,0.380415,1.308176,1.141820,0.006964,0.002641,-0.004323,0.420000,0.145000,8.396431,8.993659
sub-021,ses-02,ses-03,0.270093,0.000046,0.406879,0.329701,0.412759,0.725866,0.203075,0.362351,1.297983,0.908212,0.005439,0.002641,-0.002798,0.665000,0.145000,13.161820,8.993659
sub-022,ses-01,ses-02,0.198017,0.000037,0.239495,0.112192,0.236638,-0.141978,0.102119,0.356042,1.128593,1.106582,0.004553,0.003409,-0.001144,0.195000,0.805000,11.660877,12.752609
sub-022,ses-01,ses-03,0.282609,0.000032,0.261616,0.431054,0.263276,0.198025,-0.464636,0.381260,0.866151,0.738704,0.004553,0.003300,-0.001254,0.195000,0.240000,11.660877,8.041324
sub-022,ses-02,ses-03,0.315151,0.000025,0.022120,0.318861,0.032414,0.663037,0.292673,0.544472,0.786606,0.320049,0.003409,0.003300,-0.000110,0.805000,0.240000,12.752609,8.041324
sub-023,ses-02,ses-03,0.138043,0.000043,-0.005505,-0.001395,0.032414,0.484089,0.401064,0.349247,0.744880,0.376408,0.007582,0.020236,0.012655,0.580000,0.835000,13.163958,11.004050
sub-025,ses-01,ses-02,0.142165,0.000023,0.082369,0.069948,0.156724,0.237112,-0.018319,0.413835,0.945940,1.164136,0.003874,0.004317,0.000443,0.400000,0.520000,11.505452,11.523207
sub-025,ses-01,ses-03,0.202510,0.000069,0.227526,0.281479,0.169224,0.323066,-0.125045,0.455931,1.254102,2.099800,0.003874,0.004890,0.001016,0.400000,0.940000,11.505452,15.680597
sub-025,ses-02,ses-03,0.196850,0.000062,0.145157,0.211531,0.152586,-0.112397,-0.151117,0.407792,1.312665,2.574823,0.004317,0.004890,0.000573,0.520000,0.940000,11.523207,15.680597
sub-026,ses-02,ses-03,0.212603,0.000057,-0.212905,-0.204247,0.197155,-0.025181,0.708804,0.455572,1.041170,0.634475,0.008959,0.000821,-0.008138,1.000000,0.650000,21.405604,17.021143
sub-027,ses-01,ses-02,0.354563,0.000143,0.370468,0.455267,0.271034,0.374467,0.379567,0.412825,2.160534,1.631396,0.004058,0.006179,0.002121,0.900000,0.675000,12.286477,21.398280
sub-027,ses-01,ses-03,0.261040,0.000025,-0.061359,-0.088291,0.184655,0.491818,0.539278,0.383734,0.425770,0.643395,0.004058,0.005402,0.001343,0.900000,0.955000,12.286477,10.773666
sub-027,ses-02,ses-03,0.384162,0.000151,-0.431827,-0.543558,0.411121,0.285273,-0.240780,0.334758,0.334720,0.337200,0.006179,0.005402,-0.000777,0.675000,0.955000,21.398280,10.773666
sub-028,ses-01,ses-02,0.380517,0.000355,0.277913,0.280555,0.333276,0.249872,0.657192,0.414900,3.697157,1.850039,0.029571,0.003713,-0.025858,0.990000,1.000000,17.438045,35.194669
sub-028,ses-01,ses-03,0.361507,0.000047,0.122538,0.167065,0.210172,0.565276,0.853323,0.442786,1.376167,0.612411,0.029571,0.004932,-0.024639,0.990000,1.000000,17.438045,22.403727
sub-028,ses-02,ses-03,0.274170,0.000329,-0.155375,-0.113490,0.153276,0.429443,0.750369,0.393400,0.416897,0.253088,0.003713,0.004932,0.001219,1.000000,1.000000,35.194669,22.403727
sub-029,ses-01,ses-02,0.489582,0.000158,0.997375,0.976999,0.670862,-0.508110,0.220559,0.378619,4.721459,5.997412,0.098953,0.005634,-0.093319,0.330000,0.915000,9.144021,28.046035
sub-029,ses-01,ses-03,0.396762,0.000145,1.152595,0.829359,0.694397,-0.060149,0.433859,0.331385,6.370620,8.007479,0.098953,0.001844,-0.097109,0.330000,0.695000,9.144021,20.213859
sub-029,ses-02,ses-03,0.298390,0.000184,0.155219,-0.147640,0.191983,0.058621,0.579392,0.518090,1.503882,0.366698,0.005634,0.001844,-0.003790,0.915000,0.695000,28.046035,20.213859
sub-030,ses-01,ses-02,0.229741,6.699636,-0.989013,-0.609477,0.933448,0.428527,0.501545,0.303755,0.001469,0.001057,0.015703,0.012621,-0.003083,0.230000,0.175000,518.841550,11.821324
sub-030,ses-01,ses-03,0.297497,6.699630,-0.734824,-0.486501,0.683879,0.423090,0.522373,0.368673,0.001457,0.001549,0.015703,0.059045,0.043341,0.230000,0.765000,518.841550,14.410152
sub-030,ses-02,ses-03,0.282965,0.000012,0.254189,0.122976,0.373621,0.476808,0.636322,0.502690,1.086743,0.423098,0.012621,0.059045,0.046424,0.175000,0.765000,11.821324,14.410152
sub-031,ses-01,ses-02,0.556778,0.000031,0.802887,0.575839,0.698621,-0.209196,0.429368,0.406683,1.713188,0.787045,0.002116,0.016941,0.014825,0.190000,0.985000,8.118065,22.980916
sub-031,ses-01,ses-03,0.612364,0.000405,1.028843,0.591683,0.806724,-0.128066,0.733641,0.314420,3.017955,2.074186,0.002116,0.002652,0.000536,0.190000,1.000000,8.118065,34.909131
sub-031,ses-02,ses-03,0.243702,0.000388,0.225957,0.015845,0.287500,0.806465,0.735293,0.393255,1.368535,1.047412,0.016941,0.002652,-0.014289,0.985000,1.000000,22.980916,34.909131
sub-032,ses-01,ses-03,0.151073,0.000037,0.388605,0.169547,0.399655,-0.074285,0.344078,0.368137,1.207061,0.299608,0.008899,0.006929,-0.001970,0.215000,0.325000,12.661496,14.347373
sub-033,ses-01,ses-02,0.190788,0.000004,-0.192236,0.069186,0.151207,0.232847,0.563606,0.456501,0.900458,0.238854,0.055985,0.014677,-0.041308,0.195000,0.020000,9.819766,8.521380
sub-033,ses-01,ses-03,0.147471,0.000005,-0.132572,-0.004823,0.156638,0.383298,0.446969,0.465166,0.935336,0.107518,0.055985,0.024534,-0.031451,0.195000,0.140000,9.819766,9.167026
sub-033,ses-02,ses-03,0.185944,0.000006,0.059664,-0.074009,0.086121,0.604892,0.193761,0.370049,1.003476,1.294698,0.014677,0.024534,0.009857,0.020000,0.140000,8.521380,9.167026
sub-034,ses-01,ses-02,0.291215,0.000176,0.140922,0.180802,0.142931,0.550954,0.328320,0.427155,1.018631,1.683594,0.004029,0.003218,-0.000811,1.000000,0.785000,27.131442,14.762921
sub-034,ses-01,ses-03,0.265263,0.000177,0.142893,0.204228,0.120086,0.376388,0.050897,0.423743,1.324619,3.215976,0.004029,0.012478,0.008450,1.000000,0.915000,27.131442,18.595511
sub-034,ses-02,ses-03,0.204565,0.000030,0.001970,0.023425,0.053448,0.629622,0.534770,0.554849,1.378574,0.219376,0.003218,0.012478,0.009261,0.785000,0.915000,14.762921,18.595511
sub-035,ses-01,ses-02,0.142954,0.000012,-0.030368,-0.140150,0.038621,0.703934,0.447679,0.364783,1.016090,0.293922,0.003811,0.006203,0.002391,0.175000,0.290000,9.549033,10.688210
sub-035,ses-01,ses-03,0.139900,0.001830,-0.020649,-0.059807,0.063621,0.742981,0.494023,0.332376,1.084892,5.906049,0.003811,0.004267,0.000455,0.175000,0.390000,9.549033,13.774864
sub-035,ses-02,ses-03,0.139930,0.001831,0.009719,0.080342,0.036379,0.701300,0.515450,0.398386,1.053124,6.124620,0.006203,0.004267,-0.001936,0.290000,0.390000,10.688210,13.774864
sub-036,ses-01,ses-02,0.159803,0.000012,-0.143924,-0.072840,0.173793,0.318176,0.618175,0.170961,0.757027,0.160111,0.003616,0.001940,-0.001676,0.125000,0.020000,9.494512,7.343480
sub-036,ses-01,ses-03,0.213256,0.000012,-0.101797,0.006453,0.101207,0.285008,0.522643,0.299639,0.675098,0.179010,0.003616,0.052680,0.049064,0.125000,0.050000,9.494512,6.779500
sub-036,ses-02,ses-03,0.144668,0.000002,0.042127,0.079293,0.075259,0.412392,0.556436,0.452879,0.918682,0.175831,0.001940,0.052680,0.050740,0.020000,0.050000,7.343480,6.779500
sub-037,ses-01,ses-02,0.246078,0.038699,-0.337706,-0.208772,0.395517,0.186596,0.477012,0.435941,0.671161,0.146134,0.025456,0.001620,-0.023837,0.465000,0.205000,32.149942,9.746904
sub-037,ses-01,ses-03,0.173534,0.038697,-0.367248,-0.240180,0.406983,0.120591,0.496992,0.361217,0.739752,0.416524,0.025456,0.001797,-0.023660,0.465000,0.430000,32.149942,12.996926
sub-037,ses-02,ses-03,0.171764,0.000014,-0.029542,-0.031407,0.062500,0.434006,0.703462,0.223287,1.135542,0.692237,0.001620,0.001797,0.000177,0.205000,0.430000,9.746904,12.996926
sub-038,ses-01,ses-02,0.182991,0.001061,1.444160,1.288221,0.491207,0.095036,0.061321,0.277393,1.678556,40.597407,0.003720,0.000759,-0.002961,0.215000,0.150000,33.351899,9.740146
sub-038,ses-01,ses-03,0.225076,0.001059,1.261890,1.145248,0.485259,0.061780,-0.206811,0.309040,0.993713,17.890432,0.003720,0.008750,0.005029,0.215000,0.110000,33.351899,7.052652
sub-038,ses-02,ses-03,0.200174,0.000062,-0.182270,-0.142973,0.245776,0.138711,0.486604,0.433262,0.783352,0.178339,0.000759,0.008750,0.007991,0.150000,0.110000,9.740146,7.052652
sub-039,ses-01,ses-02,0.272407,0.000056,0.151769,0.187342,0.219310,0.807986,0.766971,0.491430,0.937341,0.270394,0.020096,0.002953,-0.017142,0.950000,0.585000,11.577018,8.999440
sub-039,ses-01,ses-03,0.232268,0.000048,0.003170,-0.012502,0.048966,0.856882,0.840127,0.491354,0.953935,0.296068,0.020096,0.012483,-0.007613,0.950000,0.960000,11.577018,11.219951
sub-039,ses-02,ses-03,0.242773,0.000009,-0.148599,-0.199844,0.194397,0.787454,0.800418,0.492824,1.014795,0.243008,0.002953,0.012483,0.009529,0.585000,0.960000,8.999440,11.219951
sub-040,ses-01,ses-02,0.182244,0.000021,0.028886,-0.107854,0.108190,0.704785,0.664515,0.474796,0.897231,0.159723,0.009482,0.021100,0.011618,0.600000,0.195000,13.380249,12.276601
sub-040,ses-01,ses-03,0.121036,0.000007,0.051289,0.123827,0.100086,0.373030,0.310929,0.525578,1.093675,0.151443,0.009482,0.014617,0.005135,0.600000,0.695000,13.380249,13.985914
sub-040,ses-02,ses-03,0.176176,0.000017,0.022404,0.231681,0.135690,0.321632,0.553447,0.449065,1.246085,0.246551,0.021100,0.014617,-0.006483,0.195000,0.695000,12.276601,13.985914
sub-041,ses-01,ses-02,0.228118,0.000019,0.571007,0.234459,0.501897,-0.037357,0.851558,0.494474,1.325135,0.151757,0.000714,0.005269,0.004555,0.220000,0.475000,11.810258,15.950275
sub-041,ses-01,ses-03,0.202969,0.000019,0.545748,0.250153,0.505086,0.218329,0.848753,0.533927,1.287483,0.178301,0.000714,0.003112,0.002399,0.220000,0.545000,11.810258,15.527407
sub-041,ses-02,ses-03,0.143067,0.000005,-0.025259,0.015694,0.053621,0.419739,0.879962,0.491974,0.972833,0.032836,0.005269,0.003112,-0.002157,0.475000,0.545000,15.950275,15.527407
sub-042,ses-01,ses-02,0.254822,0.000020,0.275314,-0.020046,0.323017,0.385965,0.499690,0.427101,0.848596,0.356019,0.009569,0.000872,-0.008697,0.305000,0.330000,10.408659,13.453488
sub-042,ses-01,ses-03,0.357545,0.000085,0.319335,0.067077,0.308362,0.242630,0.423106,0.470110,2.172720,0.729329,0.009569,0.000946,-0.008623,0.305000,0.490000,10.408659,21.402086
sub-042,ses-02,ses-03,0.269906,0.000078,0.044021,0.087122,0.078879,0.208044,0.113792,0.456194,2.468149,1.445464,0.000872,0.000946,0.000074,0.330000,0.490000,13.453488,21.402086
sub-043,ses-01,ses-02,0.123690,0.000005,-0.067779,-0.050499,0.119397,0.738636,0.697691,0.394511,0.990481,0.209152,0.016308,0.009078,-0.007230,0.220000,0.110000,7.731833,7.280423
sub-043,ses-01,ses-03,0.139831,0.000003,-0.034108,0.038594,0.073190,0.759532,0.311615,0.398924,1.060976,0.129190,0.016308,0.036460,0.020152,0.220000,0.120000,7.731833,8.021563
sub-043,ses-02,ses-03,0.136943,0.000004,0.033671,0.089092,0.049224,0.724190,0.223412,0.488621,1.074757,0.191606,0.009078,0.036460,0.027382,0.110000,0.120000,7.280423,8.021563
sub-044,ses-01,ses-02,0.131253,0.000018,0.165319,0.145825,0.238621,0.578241,0.711484,0.482604,1.127669,0.146346,0.006570,0.012075,0.005506,0.905000,0.805000,15.773108,16.001945
sub-044,ses-01,ses-03,0.204846,0.000030,-0.031840,0.021828,0.087759,0.662783,0.465592,0.557758,0.865347,0.095313,0.006570,0.002255,-0.004315,0.905000,0.560000,15.773108,12.068560
sub-044,ses-02,ses-03,0.187308,0.000025,-0.197159,-0.123998,0.267845,0.509024,0.225728,0.523324,0.772888,0.076598,0.012075,0.002255,-0.009820,0.805000,0.560000,16.001945,12.068560
sub-045,ses-01,ses-02,0.132107,0.000085,0.023472,-0.003885,0.051638,0.003417,0.087381,0.379391,0.941075,0.421034,0.004003,0.003497,-0.000506,0.500000,0.725000,16.756158,17.583965
sub-045,ses-01,ses-03,0.159083,0.000063,-0.177367,-0.026310,0.207586,0.282762,-0.087316,0.356471,1.054611,0.442519,0.004003,0.003067,-0.000936,0.500000,0.255000,16.756158,14.300771
sub-045,ses-02,ses-03,0.136411,0.000107,-0.200839,-0.022425,0.195517,0.385015,0.375492,0.302126,1.208375,0.546099,0.003497,0.003067,-0.000430,0.725000,0.255000,17.583965,14.300771
sub-046,ses-01,ses-02,0.137584,0.000005,-0.375402,-0.136284,0.462672,0.249225,0.932296,0.400483,0.953480,0.114217,0.015792,0.005662,-0.010130,0.180000,0.405000,8.771678,8.670862
sub-046,ses-01,ses-03,0.166960,0.000016,-0.390862,-0.175564,0.457069,0.103143,0.865266,0.395802,1.002136,0.219894,0.015792,0.008427,-0.007365,0.180000,0.575000,8.771678,10.241316
sub-046,ses-02,ses-03,0.147386,0.000016,-0.015459,-0.039280,0.050690,0.557549,0.871248,0.596790,1.045213,0.128009,0.005662,0.008427,0.002765,0.405000,0.575000,8.670862,10.241316
sub-047,ses-01,ses-02,0.204019,0.000111,-0.164033,-0.221051,0.230690,0.676438,0.643123,0.313895,1.634909,0.807593,0.016172,0.010910,-0.005263,0.665000,0.875000,16.638713,23.906473
sub-047,ses-01,ses-03,0.195944,0.000139,-0.069946,-0.085749,0.147241,0.848070,0.779002,0.439594,1.179948,0.376001,0.016172,0.004455,-0.011718,0.665000,0.945000,16.638713,23.560331
sub-047,ses-02,ses-03,0.152855,0.000176,0.094086,0.135302,0.086638,0.619252,0.726904,0.375261,0.756559,0.459382,0.010910,0.004455,-0.006455,0.875000,0.945000,23.906473,23.560331
sub-048,ses-01,ses-02,0.152175,0.000032,-0.029333,-0.085753,0.029655,0.566018,0.410702,0.408279,0.826980,0.242558,0.002842,0.029629,0.026787,0.990000,0.955000,21.695907,18.245288
sub-048,ses-01,ses-03,0.152716,0.000073,0.339959,0.166961,0.335345,0.663262,0.183393,0.445666,1.043646,0.365407,0.002842,0.011154,0.008312,0.990000,1.000000,21.695907,22.554737
